PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21204384","High-Speed Chronoamperometry to Study Kinetics and Mechanisms for Serotonin Clearance In Vivo","Daws LC, Toney GM.","In: Michael AC, Borland LM, editors. Electrochemical Methods for Neuroscience. Boca Raton (FL): CRC Press/Taylor & Francis; 2007. Chapter 5.","Daws LC","Electrochemical Methods for Neuroscience","2007","2007/01/01","","",""
"17234600","Impaired stress-coping and fear extinction and abnormal corticolimbic morphology in serotonin transporter knock-out mice","Wellman CL, Izquierdo A, Garrett JE, Martin KP, Carroll J, Millstein R, Lesch KP, Murphy DL, Holmes A.","J Neurosci. 2007 Jan 17;27(3):684-91. doi: 10.1523/JNEUROSCI.4595-06.2007.","Wellman CL","J Neurosci","2007","2007/01/20","PMC6672805","","10.1523/JNEUROSCI.4595-06.2007"
"17299098","Short allele of serotonin transporter gene promoter is a risk factor for obesity in adolescents","Sookoian S, Gemma C, García SI, Gianotti TF, Dieuzeide G, Roussos A, Tonietti M, Trifone L, Kanevsky D, González CD, Pirola CJ.","Obesity (Silver Spring). 2007 Feb;15(2):271-6. doi: 10.1038/oby.2007.519.","Sookoian S","Obesity (Silver Spring)","2007","2007/02/15","","","10.1038/oby.2007.519"
"17174018","Association between obsessive-compulsive disorder and a variable number of tandem repeats polymorphism in intron 2 of the serotonin transporter gene","Baca-Garcia E, Vaquero-Lorenzo C, Diaz-Hernandez M, Rodriguez-Salgado B, Dolengevich-Segal H, Arrojo-Romero M, Botillo-Martin C, Ceverino A, Piqueras JF, Perez-Rodriguez MM, Saiz-Ruiz J.","Prog Neuropsychopharmacol Biol Psychiatry. 2007 Mar 30;31(2):416-20. doi: 10.1016/j.pnpbp.2006.10.016. Epub 2006 Dec 13.","Baca-Garcia E","Prog Neuropsychopharmacol Biol Psychiatry","2007","2006/12/19","","","10.1016/j.pnpbp.2006.10.016"
"17408646","Serotonin-1A receptor gene HTR1A variation predicts interferon-induced depression in chronic hepatitis C","Kraus MR, Al-Taie O, Schäfer A, Pfersdorff M, Lesch KP, Scheurlen M.","Gastroenterology. 2007 Apr;132(4):1279-86. doi: 10.1053/j.gastro.2007.02.053. Epub 2007 Feb 25.","Kraus MR","Gastroenterology","2007","2007/04/06","","","10.1053/j.gastro.2007.02.053"
"17035935","The interface of oxytocin-labeled cells and serotonin transporter-containing fibers in the primate hypothalamus: a substrate for SSRIs therapeutic effects?","Emiliano AB, Cruz T, Pannoni V, Fudge JL.","Neuropsychopharmacology. 2007 May;32(5):977-88. doi: 10.1038/sj.npp.1301206. Epub 2006 Oct 11.","Emiliano AB","Neuropsychopharmacology","2007","2006/10/13","","","10.1038/sj.npp.1301206"
"17298851","Depressive behaviors and decreased expression of serotonin reuptake transporter in rats that experienced neonatal maternal separation","Lee JH, Kim HJ, Kim JG, Ryu V, Kim BT, Kang DW, Jahng JW.","Neurosci Res. 2007 May;58(1):32-9. doi: 10.1016/j.neures.2007.01.008. Epub 2007 Jan 20.","Lee JH","Neurosci Res","2007","2007/02/15","","","10.1016/j.neures.2007.01.008"
"17383614","Chronic food restriction in young rats results in depression- and anxiety-like behaviors with decreased expression of serotonin reuptake transporter","Jahng JW, Kim JG, Kim HJ, Kim BT, Kang DW, Lee JH.","Brain Res. 2007 May 30;1150:100-7. doi: 10.1016/j.brainres.2007.02.080. Epub 2007 Mar 6.","Jahng JW","Brain Res","2007","2007/03/27","","","10.1016/j.brainres.2007.02.080"
"17353910","Serotonin transporter polymorphism, memory and hippocampal volume in the elderly: association and interaction with cortisol","O'Hara R, Schröder CM, Mahadevan R, Schatzberg AF, Lindley S, Fox S, Weiner M, Kraemer HC, Noda A, Lin X, Gray HL, Hallmayer JF.","Mol Psychiatry. 2007 Jun;12(6):544-55. doi: 10.1038/sj.mp.4001978. Epub 2007 Mar 13.","O'Hara R","Mol Psychiatry","2007","2007/03/14","PMC2084475","NIHMS17078","10.1038/sj.mp.4001978"
"17726476","Long story short: the serotonin transporter in emotion regulation and social cognition","Canli T, Lesch KP.","Nat Neurosci. 2007 Sep;10(9):1103-9. doi: 10.1038/nn1964.","Canli T","Nat Neurosci","2007","2007/08/30","","","10.1038/nn1964"
"17336939","Relationship between neuroticism personality trait and serotonin transporter binding","Takano A, Arakawa R, Hayashi M, Takahashi H, Ito H, Suhara T.","Biol Psychiatry. 2007 Sep 15;62(6):588-92. doi: 10.1016/j.biopsych.2006.11.007. Epub 2007 Mar 6.","Takano A","Biol Psychiatry","2007","2007/03/06","","","10.1016/j.biopsych.2006.11.007"
"17931441","Interactions of child maltreatment and serotonin transporter and monoamine oxidase A polymorphisms: depressive symptomatology among adolescents from low socioeconomic status backgrounds","Cicchetti D, Rogosch FA, Sturge-Apple ML.","Dev Psychopathol. 2007 Fall;19(4):1161-80. doi: 10.1017/S0954579407000600.","Cicchetti D","Dev Psychopathol","2007","2007/10/13","","","10.1017/S0954579407000600"
"18004675","Association between the serotonin transporter gene and personality traits in borderline personality disorder patients evaluated with Zuckerman-Zuhlman Personality Questionnaire (ZKPQ)","Pascual JC, Soler J, Baiget M, Cortés A, Menoyo A, Barrachina J, Ropero M, Gomà M, Alvarez E, Perez V.","Actas Esp Psiquiatr. 2007 Nov-Dec;35(6):382-6.","Pascual JC","Actas Esp Psiquiatr","2007","2007/11/16","","",""
"17874074","A PET study on regional coexpression of 5-HT1A receptors and 5-HTT in the human brain","Lundberg J, Borg J, Halldin C, Farde L.","Psychopharmacology (Berl). 2007 Dec;195(3):425-33. doi: 10.1007/s00213-007-0928-3. Epub 2007 Sep 15.","Lundberg J","Psychopharmacology (Berl)","2007","2007/09/18","","","10.1007/s00213-007-0928-3"
"18036835","Sex differences in the serotonin 1A receptor and serotonin transporter binding in the human brain measured by PET","Jovanovic H, Lundberg J, Karlsson P, Cerin A, Saijo T, Varrone A, Halldin C, Nordström AL.","Neuroimage. 2008 Feb 1;39(3):1408-19. doi: 10.1016/j.neuroimage.2007.10.016. Epub 2007 Oct 25.","Jovanovic H","Neuroimage","2008","2007/11/27","","","10.1016/j.neuroimage.2007.10.016"
"18177844","Regulation of extracellular serotonin levels and brain-derived neurotrophic factor in rats with high and low exploratory activity","Mällo T, Kõiv K, Koppel I, Raudkivi K, Uustare A, Rinken A, Timmusk T, Harro J.","Brain Res. 2008 Feb 15;1194(5):110-7. doi: 10.1016/j.brainres.2007.11.041. Epub 2007 Dec 4.","Mällo T","Brain Res","2008","2008/01/08","PMC2568862","","10.1016/j.brainres.2007.11.041"
"18349696","Low level of harm avoidance is associated with serotonin transporter functional haplotype in alcohol-dependent individuals","Koller G, Zill P, Skoruppa T, Bondy B, Preuss UW, Soyka M.","Psychiatr Genet. 2008 Apr;18(2):59-63. doi: 10.1097/YPG.0b013e3282f60333.","Koller G","Psychiatr Genet","2008","2008/03/20","","","10.1097/YPG.0b013e3282f60333"
"18314311","Serotonin transporter gene polymorphisms: effect on serotonin transporter availability in the brain of suicide attempters","Bah J, Lindström M, Westberg L, Mannerås L, Ryding E, Henningsson S, Melke J, Rosén I, Träskman-Bendz L, Eriksson E.","Psychiatry Res. 2008 Apr 15;162(3):221-9. doi: 10.1016/j.pscychresns.2007.07.004.","Bah J","Psychiatry Res","2008","2008/03/04","","","10.1016/j.pscychresns.2007.07.004"
"17949690","Identifying molecular substrates in a mouse model of the serotonin transporter x environment risk factor for anxiety and depression","Carola V, Frazzetto G, Pascucci T, Audero E, Puglisi-Allegra S, Cabib S, Lesch KP, Gross C.","Biol Psychiatry. 2008 May 1;63(9):840-6. doi: 10.1016/j.biopsych.2007.08.013. Epub 2007 Oct 22.","Carola V","Biol Psychiatry","2008","2007/10/24","","","10.1016/j.biopsych.2007.08.013"
"18356199","Serotonin transporter knockout mice have a reduced ventilatory response to hypercapnia (predominantly in males) but not to hypoxia","Li A, Nattie E.","J Physiol. 2008 May 1;586(9):2321-9. doi: 10.1113/jphysiol.2008.152231. Epub 2008 Mar 20.","Li A","J Physiol","2008","2008/03/22","PMC2479564","","10.1113/jphysiol.2008.152231"
"18268503","Anxiety is associated with reduced central serotonin transporter availability in unmedicated patients with unipolar major depression: a [11C]DASB PET study","Reimold M, Batra A, Knobel A, Smolka MN, Zimmer A, Mann K, Solbach C, Reischl G, Schwärzler F, Gründer G, Machulla HJ, Bares R, Heinz A.","Mol Psychiatry. 2008 Jun;13(6):606-13, 557. doi: 10.1038/sj.mp.4002149. Epub 2008 Feb 12.","Reimold M","Mol Psychiatry","2008","2008/02/13","","","10.1038/sj.mp.4002149"
"18587210","Polymorphism in the promoter region of the gene for 5-HTT in individuals with aggressive periodontitis","Costa JE, Gomes CC, Cota LO, Pataro AL, Silva JF, Gomez RS, Costa FO.","J Oral Sci. 2008 Jun;50(2):193-8. doi: 10.2334/josnusd.50.193.","Costa JE","J Oral Sci","2008","2008/07/01","","","10.2334/josnusd.50.193"
"18614671","Emotion-induced retrograde amnesia is determined by a 5-HTT genetic polymorphism","Strange BA, Kroes MC, Roiser JP, Tan GC, Dolan RJ.","J Neurosci. 2008 Jul 9;28(28):7036-9. doi: 10.1523/JNEUROSCI.0834-08.2008.","Strange BA","J Neurosci","2008","2008/07/11","PMC2630025","UKMS3663","10.1523/JNEUROSCI.0834-08.2008"
"18628678","Polymorphisms of the serotonin transporter gene (5-HTTLPR, A/G SNP in 5-HTTLPR, and STin2 VNTR) and their relation to personality traits in healthy individuals from Russia","Kazantseva AV, Gaysina DA, Faskhutdinova GG, Noskova T, Malykh SB, Khusnutdinova EK.","Psychiatr Genet. 2008 Aug;18(4):167-76. doi: 10.1097/YPG.0b013e328304deb8.","Kazantseva AV","Psychiatr Genet","2008","2008/07/17","","","10.1097/YPG.0b013e328304deb8"
"18986359","Association of serotonin transporter gene-linked polymorphic region and variable number of tandem repeat polymorphism of the serotonin transporter gene in lichen simplex chronicus patients with psychiatric status","Kirtak N, Inaloz HS, Akçali C, Erdal E, Herken H, Yildirim M, Erguven HG.","Int J Dermatol. 2008 Oct;47(10):1069-72. doi: 10.1111/j.1365-4632.2008.03821.x.","Kirtak N","Int J Dermatol","2008","2008/11/07","","","10.1111/j.1365-4632.2008.03821.x"
"19018726","Pharmacogenetics of selective serotonin reuptake inhibitors in pediatric depression and anxiety","Kronenberg S, Frisch A, Rotberg B, Carmel M, Apter A, Weizman A.","Pharmacogenomics. 2008 Nov;9(11):1725-36. doi: 10.2217/14622416.9.11.1725.","Kronenberg S","Pharmacogenomics","2008","2008/11/21","","","10.2217/14622416.9.11.1725"
"19033200","Organic cation transporter 3: Keeping the brake on extracellular serotonin in serotonin-transporter-deficient mice","Baganz NL, Horton RE, Calderon AS, Owens WA, Munn JL, Watts LT, Koldzic-Zivanovic N, Jeske NA, Koek W, Toney GM, Daws LC.","Proc Natl Acad Sci U S A. 2008 Dec 2;105(48):18976-81. doi: 10.1073/pnas.0800466105. Epub 2008 Nov 24.","Baganz NL","Proc Natl Acad Sci U S A","2008","2008/11/27","PMC2596260","","10.1073/pnas.0800466105"
"19060480","Clinical manifestation of alcohol withdrawal symptoms related to genetic polymorphisms of two serotonin receptors and serotonin transporter","Lee YS, Choi SW, Han DH, Kim DJ, Joe KH.","Eur Addict Res. 2009;15(1):39-46. doi: 10.1159/000173008. Epub 2008 Dec 2.","Lee YS","Eur Addict Res","2009","2008/12/09","","","10.1159/000173008"
"20037522","[The role of genotype-environment interactions in the development of symptoms of anxiety and depression related to the disease burden for family]","Alfimova MV, Golimbet VE, Barkhatova AN, Golubev SA, Korovaĭtseva GI.","Zh Nevrol Psikhiatr Im S S Korsakova. 2009;109(12):50-4.","Alfimova MV","Zh Nevrol Psikhiatr Im S S Korsakova","2009","2009/12/29","","",""
"19125107","Effect of the 5-HTTLPR polymorphism in the serotonin transporter gene on major depressive disorder and related comorbid disorders","Verhagen M, van der Meij A, Janzing JG, Arias-Vásquez A, Buitelaar JK, Franke B.","Psychiatr Genet. 2009 Feb;19(1):39-44. doi: 10.1097/YPG.0b013e3283208061.","Verhagen M","Psychiatr Genet","2009","2009/01/07","","","10.1097/YPG.0b013e3283208061"
"18950748","Amygdala function and 5-HTT gene variants in adolescent anxiety and major depressive disorder","Lau JY, Goldman D, Buzas B, Fromm SJ, Guyer AE, Hodgkinson C, Monk CS, Nelson EE, Shen PH, Pine DS, Ernst M.","Biol Psychiatry. 2009 Feb 15;65(4):349-55. doi: 10.1016/j.biopsych.2008.08.037. Epub 2008 Oct 31.","Lau JY","Biol Psychiatry","2009","2008/10/28","PMC2791528","NIHMS160808","10.1016/j.biopsych.2008.08.037"
"18925984","Serotonin transporter gene variation and stressful life events impact processing of fear and anxiety","Armbruster D, Moser DA, Strobel A, Hensch T, Kirschbaum C, Lesch KP, Brocke B.","Int J Neuropsychopharmacol. 2009 Apr;12(3):393-401. doi: 10.1017/S1461145708009565. Epub 2008 Oct 17.","Armbruster D","Int J Neuropsychopharmacol","2009","2008/10/18","","","10.1017/S1461145708009565"
"18629430","Blushing propensity in social anxiety disorder: influence of serotonin transporter gene variation","Domschke K, Stevens S, Beck B, Baffa A, Hohoff C, Deckert J, Gerlach AL.","J Neural Transm (Vienna). 2009 Jun;116(6):663-6. doi: 10.1007/s00702-008-0090-z. Epub 2008 Jul 16.","Domschke K","J Neural Transm (Vienna)","2009","2008/07/17","","","10.1007/s00702-008-0090-z"
"19434367","Pharmacogenetics of anxiolytic drugs","Tiwari AK, Souza RP, Müller DJ.","J Neural Transm (Vienna). 2009 Jun;116(6):667-77. doi: 10.1007/s00702-009-0229-6. Epub 2009 May 12.","Tiwari AK","J Neural Transm (Vienna)","2009","2009/05/13","","","10.1007/s00702-009-0229-6"
"19126263","Serotonin transporter genotype is associated with cognitive performance but not regional 5-HT1A receptor binding in humans","Borg J, Henningsson S, Saijo T, Inoue M, Bah J, Westberg L, Lundberg J, Jovanovic H, Andrée B, Nordstrom AL, Halldin C, Eriksson E, Farde L.","Int J Neuropsychopharmacol. 2009 Jul;12(6):783-92. doi: 10.1017/S1461145708009759. Epub 2009 Jan 6.","Borg J","Int J Neuropsychopharmacol","2009","2009/01/08","","","10.1017/S1461145708009759"
"19438423","Genetic and non-genetic influences on the development of co-occurring alcohol problem use and internalizing symptomatology in adolescence: a review","Saraceno L, Munafó M, Heron J, Craddock N, van den Bree MB.","Addiction. 2009 Jul;104(7):1100-21. doi: 10.1111/j.1360-0443.2009.02571.x. Epub 2009 May 11.","Saraceno L","Addiction","2009","2009/05/15","","","10.1111/j.1360-0443.2009.02571.x"
"19249159","Sex-specific association between the 5-HTT gene-linked polymorphic region and basal cortisol secretion","Wüst S, Kumsta R, Treutlein J, Frank J, Entringer S, Schulze TG, Rietschel M.","Psychoneuroendocrinology. 2009 Aug;34(7):972-82. doi: 10.1016/j.psyneuen.2009.01.011. Epub 2009 Feb 26.","Wüst S","Psychoneuroendocrinology","2009","2009/03/03","","","10.1016/j.psyneuen.2009.01.011"
"19326435","Sex influences the effect of a lifelong increase in serotonin transporter function on cerebral metabolism","Dawson N, Ferrington L, Olverman HJ, Harmar AJ, Kelly PA.","J Neurosci Res. 2009 Aug 1;87(10):2375-85. doi: 10.1002/jnr.22062.","Dawson N","J Neurosci Res","2009","2009/03/28","","","10.1002/jnr.22062"
"19675230","Serotonin transporter availability in the amygdala and bed nucleus of the stria terminalis predicts anxious temperament and brain glucose metabolic activity","Oler JA, Fox AS, Shelton SE, Christian BT, Murali D, Oakes TR, Davidson RJ, Kalin NH.","J Neurosci. 2009 Aug 12;29(32):9961-6. doi: 10.1523/JNEUROSCI.0795-09.2009.","Oler JA","J Neurosci","2009","2009/08/14","PMC2756094","NIHMS141232","10.1523/JNEUROSCI.0795-09.2009"
"19446647","'Negativity bias' in risk for depression and anxiety: brain-body fear circuitry correlates, 5-HTT-LPR and early life stress","Williams LM, Gatt JM, Schofield PR, Olivieri G, Peduto A, Gordon E.","Neuroimage. 2009 Sep;47(3):804-14. doi: 10.1016/j.neuroimage.2009.05.009. Epub 2009 May 14.","Williams LM","Neuroimage","2009","2009/05/19","","","10.1016/j.neuroimage.2009.05.009"
"19826611","Living in a dangerous world: the shaping of behavioral profile by early environment and 5-HTT genotype","Heiming RS, Jansen F, Lewejohann L, Kaiser S, Schmitt A, Lesch KP, Sachser N.","Front Behav Neurosci. 2009 Sep 9;3:26. doi: 10.3389/neuro.08.026.2009. eCollection 2009.","Heiming RS","Front Behav Neurosci","2009","2009/10/15","PMC2759357","","10.3389/neuro.08.026.2009"
"19769585","Genetic and attachment influences on adolescents' regulation of autonomy and aggressiveness","Zimmermann P, Mohr C, Spangler G.","J Child Psychol Psychiatry. 2009 Nov;50(11):1339-47. doi: 10.1111/j.1469-7610.2009.02158.x. Epub 2009 Sep 21.","Zimmermann P","J Child Psychol Psychiatry","2009","2009/09/23","","","10.1111/j.1469-7610.2009.02158.x"
"19533737","Serotonin transporter, 5-HT1A receptor, and behavior in DBA/2J mice in comparison with four inbred mouse strains","Popova NK, Naumenko VS, Tibeikina MA, Kulikov AV.","J Neurosci Res. 2009 Dec;87(16):3649-57. doi: 10.1002/jnr.22155.","Popova NK","J Neurosci Res","2009","2009/06/18","","","10.1002/jnr.22155"
"19535614","Genetic contributions of the serotonin transporter to social learning of fear and economic decision making","Crişan LG, Pana S, Vulturar R, Heilman RM, Szekely R, Druğa B, Dragoş N, Miu AC.","Soc Cogn Affect Neurosci. 2009 Dec;4(4):399-408. doi: 10.1093/scan/nsp019. Epub 2009 Jun 17.","Crişan LG","Soc Cogn Affect Neurosci","2009","2009/06/19","PMC2799947","","10.1093/scan/nsp019"
"20001112","Interaction effect of D4 dopamine receptor gene and serotonin transporter promoter polymorphism on the cortisol stress response","Armbruster D, Mueller A, Moser DA, Lesch KP, Brocke B, Kirschbaum C.","Behav Neurosci. 2009 Dec;123(6):1288-95. doi: 10.1037/a0017615.","Armbruster D","Behav Neurosci","2009","2009/12/17","","","10.1037/a0017615"
"19199283","Variants of the serotonin transporter gene and NEO-PI-R Neuroticism: No association in the BLSA and SardiNIA samples","Terracciano A, Balaci L, Thayer J, Scally M, Kokinos S, Ferrucci L, Tanaka T, Zonderman AB, Sanna S, Olla N, Zuncheddu MA, Naitza S, Busonero F, Uda M, Schlessinger D, Abecasis GR, Costa PT Jr.","Am J Med Genet B Neuropsychiatr Genet. 2009 Dec 5;150B(8):1070-7. doi: 10.1002/ajmg.b.30932.","Terracciano A","Am J Med Genet B Neuropsychiatr Genet","2009","2009/02/10","PMC2788669","NIHMS94486","10.1002/ajmg.b.30932"
"19725030","Promoter variants of the cannabinoid receptor 1 gene (CNR1) in interaction with 5-HTTLPR affect the anxious phenotype","Lazary J, Lazary A, Gonda X, Benko A, Molnar E, Hunyady L, Juhasz G, Bagdy G.","Am J Med Genet B Neuropsychiatr Genet. 2009 Dec 5;150B(8):1118-27. doi: 10.1002/ajmg.b.31024.","Lazary J","Am J Med Genet B Neuropsychiatr Genet","2009","2009/09/03","","","10.1002/ajmg.b.31024"
"19699062","The serotonin transporter gene polymorphism (5-HTTLPR) and affective symptoms among women diagnosed with borderline personality disorder","Maurex L, Zaboli G, Ohman A, Asberg M, Leopardi R.","Eur Psychiatry. 2010 Jan;25(1):19-25. doi: 10.1016/j.eurpsy.2009.05.001. Epub 2009 Aug 20.","Maurex L","Eur Psychiatry","2010","2009/08/25","","","10.1016/j.eurpsy.2009.05.001"
"20150867","The serotonin transporter gene (5-HTT) variant and psychiatric disorders: review of current literature","Kuzelova H, Ptacek R, Macek M.","Neuro Endocrinol Lett. 2010;31(1):4-10.","Kuzelova H","Neuro Endocrinol Lett","2010","2010/02/13","","",""
"19963284","New perspectives on the neurodevelopmental effects of SSRIs","Homberg JR, Schubert D, Gaspar P.","Trends Pharmacol Sci. 2010 Feb;31(2):60-5. doi: 10.1016/j.tips.2009.11.003. Epub 2009 Dec 4.","Homberg JR","Trends Pharmacol Sci","2010","2009/12/08","","","10.1016/j.tips.2009.11.003"
"20010449","Fluoxetine response in impulsive-aggressive behavior and serotonin transporter polymorphism in personality disorder","Silva H, Iturra P, Solari A, Villarroel J, Jerez S, Jiménez M, Galleguillos F, Bustamante ML.","Psychiatr Genet. 2010 Feb;20(1):25-30. doi: 10.1097/YPG.0b013e328335125d.","Silva H","Psychiatr Genet","2010","2009/12/17","","","10.1097/YPG.0b013e328335125d"
"19782704","Modulation of behavioural profile and stress response by 5-HTT genotype and social experience in adulthood","Jansen F, Heiming RS, Lewejohann L, Touma C, Palme R, Schmitt A, Lesch KP, Sachser N.","Behav Brain Res. 2010 Feb 11;207(1):21-9. doi: 10.1016/j.bbr.2009.09.033. Epub 2009 Sep 25.","Jansen F","Behav Brain Res","2010","2009/09/29","","","10.1016/j.bbr.2009.09.033"
"20388545","Orbitofrontal cortex and amygdalar over-activity is associated with an inability to use the value of expected outcomes to guide behaviour in serotonin transporter knockout rats","Nonkes LJ, Tomson K, Maertin A, Dederen J, Maes JH, Homberg J.","Neurobiol Learn Mem. 2010 Jul;94(1):65-72. doi: 10.1016/j.nlm.2010.04.002. Epub 2010 Apr 11.","Nonkes LJ","Neurobiol Learn Mem","2010","2010/04/15","","","10.1016/j.nlm.2010.04.002"
"20501324","Chronic buspirone treatment decreases 5-HT1B receptor densities and the serotonin transporter but increases the density of 5-HT2A receptors in the bulbectomized rat model of depression: an autoradiographic study","Sato H, Skelin I, Diksic M.","Brain Res. 2010 Jul 23;1345:28-44. doi: 10.1016/j.brainres.2010.05.054. Epub 2010 May 23.","Sato H","Brain Res","2010","2010/05/27","","","10.1016/j.brainres.2010.05.054"
"20347882","Social status and day-to-day behaviour of male serotonin transporter knockout mice","Lewejohann L, Kloke V, Heiming RS, Jansen F, Kaiser S, Schmitt A, Lesch KP, Sachser N.","Behav Brain Res. 2010 Aug 25;211(2):220-8. doi: 10.1016/j.bbr.2010.03.035. Epub 2010 Mar 27.","Lewejohann L","Behav Brain Res","2010","2010/03/30","","","10.1016/j.bbr.2010.03.035"
"20729761","Gene-environment interaction of child temperament","Ivorra JL, Sanjuan J, Jover M, Carot JM, Frutos Rd, Molto MD.","J Dev Behav Pediatr. 2010 Sep;31(7):545-54. doi: 10.1097/DBP.0b013e3181ee4072.","Ivorra JL","J Dev Behav Pediatr","2010","2010/08/24","","","10.1097/DBP.0b013e3181ee4072"
"20868513","Alterations in hippocampal serotonergic and INSR function in streptozotocin induced diabetic rats exposed to stress: neuroprotective role of pyridoxine and Aegle marmelose","Abraham PM, Kuruvilla KP, Mathew J, Malat A, Joy S, Paulose CS.","J Biomed Sci. 2010 Sep 25;17(1):78. doi: 10.1186/1423-0127-17-78.","Abraham PM","J Biomed Sci","2010","2010/09/28","PMC2955644","","10.1186/1423-0127-17-78"
"21234437","Analysis of associations between 5-HTT, 5-HTR2A, and GABRA6 gene polymorphisms and health-associated personality traits","Alfimova MV, Monakhov MV, Golimbet VE, Korovaitseva GI, Lyashenko GL.","Bull Exp Biol Med. 2010 Oct;149(4):434-6. doi: 10.1007/s10517-010-0964-6.","Alfimova MV","Bull Exp Biol Med","2010","2011/01/15","","","10.1007/s10517-010-0964-6"
"21098407","Depressive symptoms in PD correlate with higher 5-HTT binding in raphe and limbic structures","Politis M, Wu K, Loane C, Turkheimer FE, Molloy S, Brooks DJ, Piccini P.","Neurology. 2010 Nov 23;75(21):1920-7. doi: 10.1212/WNL.0b013e3181feb2ab.","Politis M","Neurology","2010","2010/11/25","","","10.1212/WNL.0b013e3181feb2ab"
"20586534","Altered auditory processing in patients with panic disorder: a pilot study","Pfleiderer B, Zinkirciran S, Michael N, Hohoff C, Kersting A, Arolt V, Deckert J, Domschke K.","World J Biol Psychiatry. 2010 Dec;11(8):945-55. doi: 10.3109/15622975.2010.490273. Epub 2010 Jun 29.","Pfleiderer B","World J Biol Psychiatry","2010","2010/07/01","","","10.3109/15622975.2010.490273"
"21151780","Consequences of serotonin transporter genotype and early adversity on behavioral profile - pathology or adaptation?","Heiming RS, Sachser N.","Front Neurosci. 2010 Dec 8;4:187. doi: 10.3389/fnins.2010.00187. eCollection 2010.","Heiming RS","Front Neurosci","2010","2010/12/15","PMC2999984","","10.3389/fnins.2010.00187"
"20863670","Opposing alterations in anxiety and species-typical behaviours in serotonin transporter overexpressor and knockout mice","Line SJ, Barkus C, Coyle C, Jennings KA, Deacon RM, Lesch KP, Sharp T, Bannerman DM.","Eur Neuropsychopharmacol. 2011 Jan;21(1):108-16. doi: 10.1016/j.euroneuro.2010.08.005. Epub 2010 Sep 22.","Line SJ","Eur Neuropsychopharmacol","2011","2010/09/25","PMC3038260","","10.1016/j.euroneuro.2010.08.005"
"21075611","Differential gene expression in mutant mice overexpressing or deficient in the serotonin transporter: a focus on urocortin 1","Fabre V, Massart R, Rachalski A, Jennings K, Brass A, Sharp T, Lesch KP, Lanfumey L, Hamon M.","Eur Neuropsychopharmacol. 2011 Jan;21(1):33-44. doi: 10.1016/j.euroneuro.2010.10.004. Epub 2010 Nov 13.","Fabre V","Eur Neuropsychopharmacol","2011","2010/11/16","","","10.1016/j.euroneuro.2010.10.004"
"21093224","Cerebral metabolic responses to 5-HT2A/C receptor activation in mice with genetically modified serotonin transporter (SERT) expression","Dawson N, Ferrington L, Lesch KP, Kelly PA.","Eur Neuropsychopharmacol. 2011 Jan;21(1):117-28. doi: 10.1016/j.euroneuro.2010.10.006. Epub 2010 Nov 18.","Dawson N","Eur Neuropsychopharmacol","2011","2010/11/25","","","10.1016/j.euroneuro.2010.10.006"
"21196780","Serotonin transporter bi- and triallelic genotypes and their relationship with anxiety and academic performance: a preliminary study","Calapoğlu M, Sahin-Calapoğlu N, Karaçöp A, Soyöz M, Elyıldırım UY, Avşaroğlu S.","Neuropsychobiology. 2011;63(2):103-11. doi: 10.1159/000317550. Epub 2010 Dec 30.","Calapoğlu M","Neuropsychobiology","2011","2011/01/04","","","10.1159/000317550"
"21818344","Social defeat: impact on fear extinction and amygdala-prefrontal cortical theta synchrony in 5-HTT deficient mice","Narayanan V, Heiming RS, Jansen F, Lesting J, Sachser N, Pape HC, Seidenbecher T.","PLoS One. 2011;6(7):e22600. doi: 10.1371/journal.pone.0022600. Epub 2011 Jul 27.","Narayanan V","PLoS One","2011","2011/08/06","PMC3144906","","10.1371/journal.pone.0022600"
"21857948","Differential effects of prenatal stress in 5-Htt deficient mice: towards molecular mechanisms of gene × environment interactions","van den Hove DL, Jakob SB, Schraut KG, Kenis G, Schmitt AG, Kneitz S, Scholz CJ, Wiescholleck V, Ortega G, Prickaerts J, Steinbusch H, Lesch KP.","PLoS One. 2011;6(8):e22715. doi: 10.1371/journal.pone.0022715. Epub 2011 Aug 12.","van den Hove DL","PLoS One","2011","2011/08/23","PMC3155516","","10.1371/journal.pone.0022715"
"20585760","Central serotonin transporter levels are associated with stress hormone response and anxiety","Reimold M, Knobel A, Rapp MA, Batra A, Wiedemann K, Ströhle A, Zimmer A, Schönknecht P, Smolka MN, Weinberger DR, Goldman D, Machulla HJ, Bares R, Heinz A.","Psychopharmacology (Berl). 2011 Feb;213(2-3):563-72. doi: 10.1007/s00213-010-1903-y. Epub 2010 Jun 29.","Reimold M","Psychopharmacology (Berl)","2011","2010/06/30","PMC3010330","NIHMS236270","10.1007/s00213-010-1903-y"
"20955517","Serotonin transporter deficient mice are vulnerable to escape deficits following inescapable shocks","Muller JM, Morelli E, Ansorge M, Gingrich JA.","Genes Brain Behav. 2011 Mar;10(2):166-75. doi: 10.1111/j.1601-183X.2010.00652.x. Epub 2010 Oct 19.","Muller JM","Genes Brain Behav","2011","2010/10/20","PMC3963524","NIHMS237268","10.1111/j.1601-183X.2010.00652.x"
